Display,statement_set,statement,statement_id,repetitions
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The soccer World Cup Trophy was first called the Jules Rimet Trophy,26,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The tallest active volcano is the Ojos del Salado,27,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The spiny anteater is a mammal that lays eggs,28,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,The United States Capitol was designed by Dr  William Thornton,29,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,Napoleon was born on the island of Corsica,30,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,A gond is another name for a swamp deer,31,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,4,The Taka is the monetary unit of Bangladesh,32,18
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,"The diameter of the moon is 2,160 miles",33,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,Aconcagua is the tallest mountain in South America,34,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,The bandicoot is a marsupial animal of Australia,35,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
Display 1,5,The Danube is the second longest river in Europe,40,27
