Display,statement_set,statement,statement_id,repetitions
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,"A hand, used to measure a horse's height, is four inches high",1,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,There are around 1500 active volcanoes in the world,2,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,The present city of Atlanta was originally named Terminus,3,9
Display 1,1,Cleo was the name of the goldfish in Pinnochio,4,9
Display 1,1,Cleo was the name of the goldfish in Pinnochio,4,9
Display 1,1,Cleo was the name of the goldfish in Pinnochio,4,9
Display 1,1,Cleo was the name of the goldfish in Pinnochio,4,9
Display 1,1,Cleo was the name of the goldfish in Pinnochio,4,9
Display 1,1,Cleo was the name of the goldfish in Pinnochio,4,9
Display 1,1,Cleo was the name of the goldfish in Pinnochio,4,9
